2002	country	1	The Good Stuff	Kenny Chesney	https://www.azlyrics.com/lyrics/kennychesney/thegoodstuff.html
2002	country	2	Drive (For Daddy Gene)	Alan Jackson	https://www.azlyrics.com/lyrics/alanjackson/drivefordaddygene.html
2002	country	3	Living And Living Well	George Strait	https://www.azlyrics.com/lyrics/georgestrait/livingandlivingwell.html
2002	country	4	Good Morning Beautiful	Steve Holy	https://www.azlyrics.com/lyrics/steveholy/goodmorningbeautiful.html
2002	country	5	I Miss My Friend	Darryl Worley	https://www.azlyrics.com/lyrics/darrylworley/imissmyfriend.html
2002	country	6	My List	Toby Keith	https://www.azlyrics.com/lyrics/tobykeith/mylist.html
2002	country	7	I Don't Have To Be Me ('til Monday)	Steve Azar	NONE
2002	country	8	Beautiful Mess	Diamond Rio	https://www.azlyrics.com/lyrics/diamondrio/beautifulmess.html
2002	country	9	Blessed	Martina McBride	https://www.azlyrics.com/lyrics/martinamcbride/blessed.html
2002	country	10	The Impossible	Joe Nichols	https://www.azlyrics.com/lyrics/joenichols/theimpossible.html
2002	country	11	Ten Rounds With Jose Cuervo	Tracy Byrd	https://www.azlyrics.com/lyrics/tracybyrd/tenroundswithjosecuervo.html
2002	country	12	What If She's An Angel	Tommy Shane Steiner	NONE
2002	country	13	The One	Gary Allan	https://www.azlyrics.com/lyrics/garyallan/theone.html
2002	country	14	Somebody Like You	Keith Urban	https://www.azlyrics.com/lyrics/keithurban/somebodylikeyou.html
2002	country	15	I'm Movin' On	Rascal Flatts	https://www.azlyrics.com/lyrics/rascalflatts/immovingon.html
2002	country	16	Bring On The Rain	Jo Dee Messina With Tim McGraw	https://www.azlyrics.com/lyrics/jodeemessina/bringontherain.html
2002	country	17	The Long Goodbye	Brooks & Dunn	https://www.azlyrics.com/lyrics/brooksdunn/thelonggoodbye.html
2002	country	18	Not A Day Goes By	Lonestar	https://www.azlyrics.com/lyrics/lonestar/notadaygoesby.html
2002	country	19	Young	Kenny Chesney	https://www.azlyrics.com/lyrics/kennychesney/young.html
2002	country	20	I Keep Looking	Sara Evans	https://www.azlyrics.com/lyrics/saraevans/ikeeplooking.html
2002	country	21	The Cowboy In Me	Tim McGraw	https://www.azlyrics.com/lyrics/timmcgraw/thecowboyinme.html
2002	country	22	I Should Be Sleeping	Emerson Drive	https://www.azlyrics.com/lyrics/emersondrive/ishouldbesleeping.html
2002	country	23	I Breathe In, I Breathe Out	Chris Cagle	https://www.azlyrics.com/lyrics/chriscagle/ibreatheinibreatheout.html
2002	country	24	Where Were You (When The World Stopped Turning)	Alan Jackson	https://www.azlyrics.com/lyrics/alanjackson/wherewereyouwhentheworldstoppedturning.html
2002	country	25	I'm Gonna Miss Her (The Fishin' Song)	Brad Paisley	https://www.azlyrics.com/lyrics/bradpaisley/imgonnamissher.html
2002	country	26	That's When I Love You	Phil Vassar	https://www.azlyrics.com/lyrics/philvassar/thatswheniloveyou.html
2002	country	27	Where Would You Be	Martina McBride	https://www.azlyrics.com/lyrics/martinamcbride/wherewouldyoube.html
2002	country	28	Courtesy Of The Red, White And Blue (The Angry American)	Toby Keith	https://www.azlyrics.com/lyrics/tobykeith/courtesyoftheredwhiteandbluetheangryamerican.html
2002	country	29	Wrapped Around	Brad Paisley	https://www.azlyrics.com/lyrics/bradpaisley/wrappedaround.html
2002	country	30	Run	George Strait	https://www.azlyrics.com/lyrics/georgestrait/run.html
2002	country	31	Work In Progress	Alan Jackson	https://www.azlyrics.com/lyrics/alanjackson/workinprogress.html
2002	country	32	American Child	Phil Vassar	https://www.azlyrics.com/lyrics/philvassar/americanchild.html
2002	country	33	Tonight I Wanna Be Your Man	Andy Griggs	https://www.azlyrics.com/lyrics/andygriggs/tonightiwannabeyourman.html
2002	country	34	When You Lie Next To Me	Kellie Coffey	NONE
2002	country	35	Long Time Gone	Dixie Chicks	https://www.azlyrics.com/lyrics/dixiechicks/longtimegone.html
