1998	2.944	2.603	3.294	7
2005	3.694	3.306	4.105	8
1990	2.576	2.181	3.160	8
2004	4.083	3.708	4.459	8
2002	3.625	3.027	4.153	8
2018	3.667	3.206	4.143	7
1993	3.083	2.375	3.757	8
2019	3.715	3.291	4.104	8
1984	2.139	1.736	2.667	8
2021	2.917	2.465	3.382	8
2008	3.368	2.910	3.806	8
2014	3.167	2.250	4.417	4
1999	2.687	2.319	3.069	8
2006	2.514	2.048	3.105	8
1992	2.758	2.365	3.159	7
2003	3.319	2.569	4.153	8
1986	2.528	2.097	2.903	8
1977	2.587	1.921	3.223	7
2020	3.548	3.182	3.953	7
1983	2.743	1.861	3.722	8
2010	2.889	2.556	3.381	7
1974	2.736	2.062	3.417	8
1975	3.604	2.735	4.382	8
2012	3.060	2.333	3.778	7
1995	2.819	2.333	3.320	8
1989	2.361	2.062	2.618	8
1991	2.278	1.972	2.667	8
1970	2.458	1.979	3.181	8
2011	3.049	2.298	3.903	8
1997	2.931	2.528	3.306	8
2009	3.349	2.857	3.952	7
1980	2.208	1.917	2.542	8
1979	2.229	1.625	2.833	8
1972	3.236	2.555	4.069	8
1978	2.540	2.190	3.016	7
1988	2.236	1.791	2.903	8
1976	2.507	2.028	3.236	8
1996	2.944	2.708	3.194	8
2001	3.167	2.666	3.792	8
2016	2.833	2.167	3.556	6
2022	3.407	2.713	3.963	6
1994	2.986	2.306	3.764	8
2013	3.989	3.333	4.667	5
1981	2.579	1.698	3.563	7
1985	2.979	2.528	3.410	8
2015	2.786	1.881	3.794	7
2007	3.250	2.583	3.944	8
2000	2.764	2.125	3.278	8
1987	2.806	2.250	3.472	8
1971	2.590	2.035	3.348	8
1982	2.938	2.431	3.584	8
2017	3.093	2.574	3.833	6
1973	2.972	2.388	3.695	8
1967	2.444	1.889	3.000	8
1960	1.861	1.556	2.181	8
1966	1.826	1.486	2.125	8
1965	2.399	1.868	3.195	8
1964	2.431	1.917	3.139	8
1961	2.611	1.910	3.396	8
1962	2.306	1.923	2.785	8
1968	2.694	1.833	3.612	8
1963	2.347	1.583	3.404	8
1969	2.382	1.805	3.042	8
2024	2.398	2.000	2.796	6
2023	3.944	3.465	4.347	8
